title,description
男女平權短褲無罪,
軍公教年金改革,
全台禁止吸菸、賣菸,
改用環保香、金紙,
興建如沖繩之大型親子公園,
公佈再生能源十年目標計劃,
婚姻平權，無分性別,
投票權降低到18歲,
政府對企業違規、違法行為之處罰資訊公開透明於單一平台,
全台無障礙空間,
剔除無用教科書，如國中小體育課本,
有機農業,
公家牆面廉租供藝術彩繪、塗鴉,
增加產製、販毒刑罰,
通姦除罪化,
汽機車考照年齡降至16歲,
楊玉欣立委: 病人自主權力法,http://musou.tw/focuses/1020
悠遊卡公司結構問題改革,"21位董事的龐大編制也顯得不合理。台灣上市櫃企業一般聘任5至7位董事已是上限，年營收250億美金的台積電也只有8位董事。103年悠遊卡公司營收僅15.3億元，員工人數約200人，管理費用卻高達4.27億元，議員與媒體時常檢討悠遊卡公司經理人的薪資，但是否曾要求悠遊卡公司揭露歷年發放的董監事酬勞？

原文 http://www.inside.com.tw/2015/09/15/easycard-controversy"
民意代表參選登記需先請辭現有職位,
全台立法比照「台北市政府遏止新增違章建築處理措施」,
開放全台「犯罪熱點、災害熱點」資料,
敬請具體實踐中華民國憲法第143條：中華民國領土內之土地屬於國民全體,http://join.gov.tw/openup/attachments/b7ec52d0-6d8c-49af-89c1-9fcab4d859ce
嘉義縣、嘉義市二縣市合併,
讓癌症免疫細胞療法的修法法案，在2015年12月底前送入立法院以及加速癌症新藥的引進速度,
將公益彩券盈餘確實運用在弱勢族群生活需求，並請求公開。,
廢除「健保補充保費」政策,
裁罰高速公路車輛利用行車安全距離超車,
將國家撥給政黨的競選費用補助金門檻由3.5%降為3%,
廢除「股利扣抵率減半」政策，恢復昔日全額扣抵,
移撥空軍S-2T反潛機予內政部空勤總隊，強化災害防救能力,
退休金制度改革-以國內消費代替現金支付,
法務部對「恐龍法官」應做出適當再教育措施,
設立考試制度，為軍中及國家嚴選人才晉任將階,
徹底改造國軍制度，避免軍中冤案及違法舞弊情事發生,
引進鞭刑,
推動「十八歲投票權」及「二十歲被選舉權」?,
請開放800萬門牌位置資料,
提高並分類機車取照標準,
支持流浪貓(TNR) 計畫,
器官捐贈,
"設立公車中繼休息站, 或是從制度面著手, 讓司機大哥不需再為了急著上洗手間苦惱","由於近日常常看到尿急的司機大哥衝下車方便, 希望有個制度可以讓司機大哥不需跑了多趟累積幾小時才可以休息, 無論設立中繼休息站, 或是制度上的改變, 應該都是可行的"
店家不營業時招牌應熄燈,
英語做為第二官方語言,
"我支持核四, 因為不但可以減少全球暖化, 也可以讓核一順利除役",
"我反對核四, 因為出了安全誰負責呀, 現在台灣發電能力, 即使把核電全停掉也不會缺電",
"對於核四議題, 我保持中立, 但我希望可以減少全球暖化, 也可以讓台灣人民免於可能的核災, 所以我想討論替代能源的可能",
這是假議題 3,
這是假議題 4,
這是假議題 5,
這是假議題 6,
這是假議題 7,
這是假議題 8,
這是假議題 9,
這是假議題 10,
這是假議題 11,
這是假議題 12,
這是假議題 13,
這是假議題 14,
這是假議題 15,
這是假議題 16,
這是假議題 17,
這是假議題 18,
這是假議題 19,